Asset,MinVariance_Weight,MaxSharpe_Weight
VTI,0.0,0.4031863605117681
VEA,4.729137551338519e-18,0.0
VWO,0.0,1.695692197767329e-16
AGG,0.04281939758801097,0.0
TLT,2.1017682664489354e-18,3.622861559360313e-17
TIP,0.0,0.0
VNQ,0.0,4.2392304944183223e-17
DBC,0.0011046394732575307,8.17217387510949e-17
BTC-USD,4.0993090311842213e-19,0.3166354065767439
BIL,0.9560759629387314,5.738139997879532e-17
LQD,0.0,0.0
HYG,1.0856826937864458e-18,0.0
GLD,5.667368656712065e-19,0.2801782329114879
