Date,VTI,VEA,VWO,AGG,TLT,TIP,VNQ,DBC,BTC-USD,BIL,LQD,HYG,GLD
2017-08-22,110.35530090332031,33.20338439941406,34.38706588745117,87.97176361083984,101.75859069824219,88.80147552490234,60.50611114501953,12.846207618713379,4100.52001953125,76.1002426147461,91.22344970703125,57.50206756591797,122.20999908447266
2017-08-23,110.02155303955078,33.2191276550293,34.553001403808594,88.1718978881836,102.45072174072266,89.0431900024414,61.127037048339844,12.959813117980957,4151.52001953125,76.1002426147461,91.5711441040039,57.50862121582031,122.66999816894531
2017-08-24,109.84586334228516,33.179771423339844,34.632022857666016,88.05982971191406,102.07247161865234,88.81707000732422,60.93709945678711,12.95107364654541,4334.68017578125,76.1002426147461,91.39730072021484,57.59363555908203,122.29000091552734
2017-08-25,110.10938262939453,33.37657165527344,34.92436981201172,88.1238784790039,102.4667739868164,88.9652099609375,61.22927474975586,12.924858093261719,4371.60009765625,76.08360290527344,91.60891723632812,57.69829559326172,122.73999786376953
2017-08-28,110.15328979492188,33.37657165527344,34.91645431518555,88.15587615966797,102.40243530273438,89.03536987304688,60.76177215576172,12.933597564697266,4382.66015625,76.1002426147461,91.60891723632812,57.70481872558594,124.69000244140625
2017-08-29,110.19721221923828,33.23487854003906,34.8453483581543,88.28389739990234,102.73241424560547,89.17575073242188,60.69602584838867,12.933597564697266,4579.02001953125,76.1002426147461,91.67691040039062,57.63291549682617,124.41999816894531
2017-08-30,110.77691650390625,33.18764877319336,34.88485336303711,88.26789093017578,102.70015716552734,89.15232849121094,61.03936767578125,12.837468147277832,4565.2998046875,76.1002426147461,91.75250244140625,57.78987121582031,124.36000061035156
2017-08-31,111.53231048583984,33.47104263305664,35.00337600708008,88.3879165649414,103.00601196289062,89.37847137451172,61.3900032043457,13.195764541625977,4703.39013671875,76.1169204711914,91.91122436523438,57.94683837890625,125.81999969482422
2017-09-01,111.78701782226562,33.53400802612305,35.256221771240234,88.18744659423828,102.2181625366211,89.17298126220703,61.60184860229492,13.213242530822754,4892.009765625,76.12190246582031,91.54744720458984,58.00593566894531,126.05999755859375
2017-09-04,111.78701782226562,33.53400802612305,35.256221771240234,88.18744659423828,102.2181625366211,89.17298126220703,61.60184860229492,13.213242530822754,4236.31005859375,76.12190246582031,91.54744720458984,58.00593566894531,126.05999755859375
2017-09-05,110.92626190185547,33.28997039794922,34.98757553100586,88.54828643798828,103.83907318115234,89.751220703125,61.433834075927734,13.239458084106445,4376.52978515625,76.0886001586914,92.11580657958984,57.87458419799805,127.45999908447266
2017-09-06,111.233642578125,33.53400802612305,35.24041748046875,88.45206451416016,103.20201873779297,89.64180755615234,61.59452819824219,13.3705415725708,4597.1201171875,76.12190246582031,91.7900161743164,57.83515548706055,126.80999755859375
2017-09-07,111.18096923828125,33.80952453613281,35.41425323486328,88.66862487792969,104.25845336914062,90.01688385009766,61.98899841308594,13.36180305480957,4599.8798828125,76.12190246582031,92.14613342285156,57.84172439575195,128.1300048828125
2017-09-08,111.10189819335938,33.8016357421875,35.185115814208984,88.56436920166016,104.03266143798828,90.03255462646484,62.04014205932617,13.213242530822754,4228.75,76.1052474975586,91.87335968017578,57.657833099365234,127.97000122070312
2017-09-11,112.29645538330078,34.05354309082031,35.59598922729492,88.32376098632812,102.79071807861328,89.68870544433594,62.609920501708984,13.239458084106445,4161.27001953125,76.1052474975586,91.59297180175781,57.84172439575195,126.19000244140625
2017-09-12,112.72685241699219,34.1243896484375,35.53277587890625,88.19548034667969,102.25039672851562,89.54021453857422,61.87212371826172,13.274413108825684,4130.81005859375,76.13851165771484,91.49441528320312,57.913997650146484,126.55999755859375
2017-09-13,112.77954864501953,33.966957092285156,35.295738220214844,88.10724639892578,101.84718322753906,89.37614440917969,61.71141052246094,13.335587501525879,3882.590087890625,76.13851165771484,91.40350341796875,57.93368911743164,125.61000061035156
2017-09-14,112.74441528320312,34.06142044067383,35.36684036254883,88.15538787841797,102.2665023803711,89.51678466796875,62.22274398803711,13.34432601928711,3154.949951171875,76.12190246582031,91.63085174560547,58.01249694824219,126.16000366210938
2017-09-15,112.95523834228516,34.0771598815918,35.60390090942383,88.13932800292969,102.30683135986328,89.46987915039062,62.33961486816406,13.405498504638672,3637.52001953125,76.12190246582031,91.70658111572266,58.065025329589844,125.52999877929688
2017-09-18,113.22750091552734,34.13227462768555,35.572288513183594,88.09923553466797,101.71815490722656,89.43084716796875,62.00361251831055,13.388019561767578,4065.199951171875,76.12190246582031,91.61570739746094,58.038761138916016,124.36000061035156
