Date,loss,var_hist,exceed
2015-01-02,-0.0007879849793387111,,0.0
2015-01-05,0.046433066280990365,,0.0
2015-01-06,-0.01243971355342826,,0.0
2015-01-07,-0.012015802193827889,,0.0
2015-01-08,0.006178308011886326,,0.0
2015-01-09,-0.007607053896869128,,0.0
2015-01-12,0.025460628234595124,,0.0
2015-01-13,0.055798584463202044,,0.0
2015-01-14,0.07787985843841196,,0.0
2015-01-15,-0.05479252605243046,,0.0
2015-01-16,-0.0062958269305437055,,0.0
2015-01-19,-0.010128202330706139,,0.0
2015-01-20,0.0008725938231645219,,0.0
2015-01-21,-0.024410119781759776,,0.0
2015-01-22,-0.017282140054112702,,0.0
2015-01-23,0.004787966449975002,,0.0
2015-01-26,-0.04974156589760842,,0.0
2015-01-27,0.013334761594848199,,0.0
2015-01-28,0.045388399234563274,,0.0
2015-01-29,0.00281202354253086,,0.0
2015-01-30,0.009102417877948708,,0.0
2015-02-02,-0.018254482537992382,,0.0
2015-02-03,0.011927101907254078,,0.0
2015-02-04,0.0007664377375499595,,0.0
2015-02-05,0.009005190829116758,,0.0
2015-02-06,0.0011232638761094873,,0.0
2015-02-09,0.0038522837524063982,,0.0
2015-02-10,-0.0020541502274608893,,0.0
2015-02-11,0.004085492421999841,,0.0
2015-02-12,-0.008214418914089814,,0.0
2015-02-13,-0.022354948288247294,,0.0
2015-02-16,0.002137585050593682,,0.0
2015-02-17,-0.008869768107217922,,0.0
2015-02-18,0.008593357432574222,,0.0
2015-02-19,-0.0041814367143263925,,0.0
2015-02-20,-0.005231153069172866,,0.0
2015-02-23,0.006084565506995956,,0.0
2015-02-24,-0.0003002391603520083,,0.0
2015-02-25,0.0007620337514409113,,0.0
2015-02-26,0.0007583330977000057,,0.0
2015-02-27,-0.021265334594299117,,0.0
2015-03-02,-0.027447599080556967,,0.0
2015-03-03,-0.004687161358603829,,0.0
2015-03-04,0.012330738480233572,,0.0
2015-03-05,-0.003919595374122041,,0.0
2015-03-06,0.01736880676833272,,0.0
